Year,Country,Generosity
2015,Switzerland,0.297
2015,Iceland,0.436
2015,Denmark,0.341
2015,Norway,0.347
2015,Finland,0.234
2015,Netherlands,0.476
2015,Sweden,0.363
2015,Austria,0.331
2015,Luxembourg,0.28
2015,Ireland,0.459
2015,Belgium,0.223
2015,United Kingdom,0.519
2015,Germany,0.282
2015,France,0.123
2015,Spain,0.182
2015,Malta,0.518
2015,Italy,0.228
2015,North Cyprus,0.262
2015,Cyprus,0.306
2015,Portugal,0.137
2015,Greece,0
2016,Denmark,0.362
2016,Switzerland,0.281
2016,Iceland,0.477
2016,Norway,0.379
2016,Finland,0.255
2016,Netherlands,0.474
2016,Sweden,0.383
2016,Austria,0.329
2016,Germany,0.305
2016,Belgium,0.242
2016,Ireland,0.45
2016,Luxembourg,0.276
2016,United Kingdom,0.502
2016,Malta,0.562
2016,France,0.122
2016,Spain,0.177
2016,Italy,0.167
2016,North Cyprus,0.263
2016,Cyprus,0.279
2016,Portugal,0.117
2016,Greece,0
2017,Norway,0.362
2017,Denmark,0.355
2017,Iceland,0.476
2017,Switzerland,0.291
2017,Finland,0.245
2017,Netherlands,0.47
2017,Sweden,0.385
2017,Austria,0.316
2017,Ireland,0.428
2017,Germany,0.336
2017,Belgium,0.232
2017,Luxembourg,0.283
2017,United Kingdom,0.493
2017,Malta,0.575
2017,France,0.13
2017,Spain,0.19
2017,Italy,0.173
2017,North Cyprus,0.267
2017,Cyprus,0.271
2017,Greece,0
2017,Portugal,0.095
2018,Finland,0.192
2018,Norway,0.286
2018,Denmark,0.284
2018,Iceland,0.353
2018,Switzerland,0.256
2018,Netherlands,0.333
2018,Sweden,0.285
2018,Austria,0.242
2018,Ireland,0.307
2018,Germany,0.273
2018,Belgium,0.188
2018,Luxembourg,0.196
2018,United Kingdom,0.354
2018,Malta,0.376
2018,France,0.098
2018,Spain,0.142
2018,Italy,0.137
2018,Cyprus,0.202
2018,Portugal,0.055
2018,Greece,0
2019,Finland,0.153
2019,Denmark,0.252
2019,Norway,0.271
2019,Iceland,0.354
2019,Netherlands,0.322
2019,Switzerland,0.263
2019,Sweden,0.267
2019,Austria,0.244
2019,Luxembourg,0.194
2019,United Kingdom,0.348
2019,Germany,0.261
2019,Belgium,0.16
2019,Malta,0.375
2019,France,0.111
2019,Spain,0.153
2019,Italy,0.158
2019,Cyprus,0.19
2019,Portugal,0.047
2019,Greece,0
2015,Mauritius,0.377
2015,Nigeria,0.272
2015,Zambia,0.196
2015,Somaliland region,0.503
2015,Mozambique,0.223
2015,Lesotho,0.164
2015,Swaziland,0.183
2015,South Africa,0.12
2015,Ghana,0.231
2015,Zimbabwe,0.19
2015,Liberia,0.244
2015,Sudan,0.191
2015,Congo (Kinshasa),0.248
2015,Ethiopia,0.243
2015,Sierra Leone,0.215
2015,Mauritania,0.219
2015,Kenya,0.375
2015,Djibouti,0.181
2015,Botswana,0.105
2015,Malawi,0.331
2015,Cameroon,0.206
2015,Angola,0.123
2015,Mali,0.188
2015,Congo (Brazzaville),0.124
2015,Comoros,0.174
2015,Uganda,0.291
2015,Senegal,0.208
2015,Gabon,0.068
2015,Niger,0.194
2015,Tanzania,0.344
2015,Madagascar,0.213
2015,Central African Republic,0.238
2015,Chad,0.184
2015,Guinea,0.287
2015,Ivory Coast,0.202
2015,Burkina Faso,0.217
2015,Rwanda,0.226
2015,Benin,0.183
2015,Burundi,0.197
2015,Togo,0.167
2016,Mauritius,0.37
2016,Somaliland Region,0.515
2016,Nigeria,0.232
2016,Zambia,0.179
2016,Sierra Leone,0.239
2016,Cameroon,0.227
2016,Ethiopia,0.295
2016,South Africa,0.137
2016,Kenya,0.413
2016,Ghana,0.212
2016,Congo (Kinshasa),0.255
2016,Congo (Brazzaville),0.121
2016,Senegal,0.191
2016,Mauritania,0.227
2016,Zimbabwe,0.185
2016,Malawi,0.31
2016,Sudan,0.181
2016,Gabon,0.062
2016,Mali,0.211
2016,Botswana,0.124
2016,Comoros,0.183
2016,Ivory Coast,0.203
2016,Angola,0.121
2016,Niger,0.21
2016,Chad,0.187
2016,Burkina Faso,0.244
2016,Uganda,0.271
2016,Madagascar,0.22
2016,Tanzania,0.315
2016,Liberia,0.241
2016,Guinea,0.299
2016,Rwanda,0.236
2016,Benin,0.202
2016,Togo,0.175
2016,Burundi,0.203
2017,Mauritius,0.361
2017,Nigeria,0.231
2017,South Africa,0.139
2017,Sierra Leone,0.293
2017,Cameroon,0.236
2017,Kenya,0.445
2017,Mozambique,0.322
2017,Senegal,0.183
2017,Zambia,0.25
2017,Gabon,0.044
2017,Ethiopia,0.313
2017,Mauritania,0.202
2017,Congo (Brazzaville),0.121
2017,Congo (Kinshasa),0.246
2017,Mali,0.183
2017,Ivory Coast,0.201
2017,Sudan,0.182
2017,Ghana,0.257
2017,Uganda,0.326
2017,Burkina Faso,0.251
2017,Niger,0.229
2017,Malawi,0.287
2017,Chad,0.216
2017,Zimbabwe,0.189
2017,Lesotho,0.157
2017,Angola,0.098
2017,Botswana,0.099
2017,Benin,0.208
2017,Madagascar,0.209
2017,Liberia,0.267
2017,Guinea,0.265
2017,Togo,0.197
2017,Rwanda,0.253
2017,Tanzania,0.354
2017,Burundi,0.204
2017,Central African Republic,0.281
2018,Mauritius,0.245
2018,Nigeria,0.201
2018,Cameroon,0.183
2018,Gabon,0.032
2018,South Africa,0.103
2018,Ivory Coast,0.146
2018,Ghana,0.212
2018,Senegal,0.138
2018,Sierra Leone,0.238
2018,Congo (Brazzaville),0.091
2018,Mali,0.139
2018,Burkina Faso,0.175
2018,Mozambique,0.206
2018,Kenya,0.352
2018,Zambia,0.221
2018,Mauritania,0.134
2018,Ethiopia,0.22
2018,Chad,0.181
2018,Congo (Kinshasa),0.197
2018,Niger,0.175
2018,Uganda,0.259
2018,Benin,0.163
2018,Sudan,0.134
2018,Togo,0.158
2018,Guinea,0.185
2018,Lesotho,0.116
2018,Madagascar,0.155
2018,Zimbabwe,0.132
2018,Botswana,0.042
2018,Malawi,0.21
2018,Liberia,0.206
2018,Rwanda,0.2
2018,Tanzania,0.27
2018,Central African Republic,0.218
2018,Burundi,0.149
2019,Mauritius,0.215
2019,Nigeria,0.215
2019,Cameroon,0.187
2019,Ghana,0.245
2019,Ivory Coast,0.154
2019,Benin,0.175
2019,Congo (Brazzaville),0.105
2019,Gabon,0.043
2019,South Africa,0.13
2019,Senegal,0.153
2019,Niger,0.188
2019,Burkina Faso,0.177
2019,Guinea,0.207
2019,Kenya,0.372
2019,Mauritania,0.106
2019,Mozambique,0.197
2019,Congo (Kinshasa),0.212
2019,Mali,0.153
2019,Sierra Leone,0.252
2019,Chad,0.198
2019,Ethiopia,0.209
2019,Uganda,0.252
2019,Zambia,0.247
2019,Togo,0.177
2019,Liberia,0.233
2019,Comoros,0.275
2019,Madagascar,0.169
2019,Lesotho,0.107
2019,Burundi,0.176
2019,Zimbabwe,0.151
2019,Botswana,0.025
2019,Malawi,0.218
2019,Rwanda,0.217
2019,Tanzania,0.276
2019,Central African Republic,0.235
2015,Bhutan,0.48
2015,Pakistan,0.337
2015,Bangladesh,0.212
2015,India,0.265
2015,Nepal,0.323
2015,Sri Lanka,0.408
2015,Afghanistan,0.365
2016,Bhutan,0.485
2016,Pakistan,0.312
2016,Nepal,0.382
2016,Bangladesh,0.191
2016,Sri Lanka,0.47
2016,India,0.25
2016,Afghanistan,0.313
2017,Pakistan,0.315
2017,Bhutan,0.474
2017,Nepal,0.394
2017,Bangladesh,0.172
2017,Sri Lanka,0.491
2017,India,0.232
2017,Afghanistan,0.312
2018,Pakistan,0.216
2018,Bhutan,0.364
2018,Nepal,0.302
2018,Bangladesh,0.153
2018,Sri Lanka,0.307
2018,India,0.172
2018,Afghanistan,0.191
2019,Pakistan,0.22
2019,Bhutan,0.37
2019,Nepal,0.285
2019,Bangladesh,0.166
2019,Sri Lanka,0.244
2019,India,0.2
2019,Afghanistan,0.158
2018,Angola,0.079
2015,Singapore,0.311
2015,Thailand,0.576
2015,Malaysia,0.331
2015,Indonesia,0.515
2015,Vietnam,0.169
2015,Philippines,0.25
2015,Laos,0.422
2015,Myanmar,0.796
2015,Cambodia,0.404
2016,Singapore,0.327
2016,Thailand,0.587
2016,Malaysia,0.415
2016,Indonesia,0.565
2016,Philippines,0.217
2016,Vietnam,0.251
2016,Laos,0.431
2016,Myanmar,0.82
2016,Cambodia,0.403
2017,Singapore,0.346
2017,Thailand,0.572
2017,Malaysia,0.417
2017,Philippines,0.194
2017,Indonesia,0.612
2017,Vietnam,0.235
2017,Myanmar,0.838
2017,Cambodia,0.386
2018,Singapore,0.261
2018,Malaysia,0.311
2018,Thailand,0.364
2018,Philippines,0.12
2018,Vietnam,0.177
2018,Indonesia,0.484
2018,Laos,0.23
2018,Cambodia,0.256
2018,Myanmar,0.598
2019,Singapore,0.271
2019,Thailand,0.359
2019,Philippines,0.117
2019,Malaysia,0.26
2019,Indonesia,0.498
2019,Vietnam,0.147
2019,Laos,0.266
2019,Cambodia,0.232
2019,Myanmar,0.566
2015,Canada,0.458
2015,United States,0.401
2016,Canada,0.448
2016,United States,0.411
2017,Canada,0.436
2017,United States,0.393
2018,Canada,0.321
2018,United States,0.291
2019,Canada,0.285
2019,United States,0.28
2015,Israel,0.332
2015,United Arab Emirates,0.264
2015,Oman,0.215
2015,Qatar,0.326
2015,Saudi Arabia,0.137
2015,Kuwait,0.162
2015,Bahrain,0.174
2015,Libya,0.183
2015,Algeria,0.078
2015,Turkey,0.123
2015,Jordan,0.111
2015,Morocco,0.072
2015,Lebanon,0.219
2015,Tunisia,0.064
2015,Palestinian Territories,0.113
2015,Iran,0.381
2015,Iraq,0.179
2015,Egypt,0.113
2015,Yemen,0.091
2015,Syria,0.472
2016,Israel,0.323
2016,United Arab Emirates,0.266
2016,Saudi Arabia,0.155
2016,Qatar,0.324
2016,Algeria,0.07
2016,Kuwait,0.16
2016,Bahrain,0.171
2016,Libya,0.171
2016,Turkey,0.047
2016,Jordan,0.143
2016,Morocco,0.041
2016,Lebanon,0.237
2016,Tunisia,0.039
2016,Iran,0.385
2016,Palestinian Territories,0.112
2016,Iraq,0.196
2016,Egypt,0.127
2016,Yemen,0.098
2016,Syria,0.484
2017,Israel,0.33
2017,United Arab Emirates,0.361
2017,Qatar,0.33
2017,Saudi Arabia,0.148
2017,Kuwait,0.228
2017,Bahrain,0.173
2017,Algeria,0.069
2017,Libya,0.152
2017,Turkey,0.047
2017,Jordan,0.172
2017,Morocco,0.032
2017,Lebanon,0.264
2017,Tunisia,0.05
2017,Palestinian Territories,0.114
2017,Egypt,0.129
2017,Iran,0.387
2017,Iraq,0.2
2017,Yemen,0.104
2017,Syria,0.494
2018,Israel,0.262
2018,United Arab Emirates,0.186
2018,Qatar,0.256
2018,Saudi Arabia,0.098
2018,Bahrain,0.243
2018,Kuwait,0.167
2018,Libya,0.116
2018,Turkey,0.106
2018,Algeria,0.055
2018,Morocco,0.026
2018,Lebanon,0.187
2018,Jordan,0.13
2018,Palestinian Territories,0.086
2018,Iran,0.282
2018,Tunisia,0.04
2018,Iraq,0.148
2018,Egypt,0.092
2018,Syria,0.376
2018,Yemen,0.083
2019,Israel,0.261
2019,United Arab Emirates,0.262
2019,Saudi Arabia,0.08
2019,Qatar,0.22
2019,Bahrain,0.255
2019,Kuwait,0.359
2019,Libya,0.133
2019,Turkey,0.083
2019,Algeria,0.073
2019,Morocco,0.036
2019,Lebanon,0.166
2019,Jordan,0.11
2019,Palestinian Territories,0.103
2019,Iran,0.27
2019,Tunisia,0.059
2019,Iraq,0.148
2019,Egypt,0.076
2019,Syria,0.331
2019,Yemen,0.108
2015,Costa Rica,0.255
2015,Mexico,0.141
2015,Brazil,0.146
2015,Venezuela,0.058
2015,Panama,0.244
2015,Chile,0.334
2015,Argentina,0.115
2015,Uruguay,0.232
2015,Colombia,0.184
2015,Suriname,0.17
2015,Trinidad and Tobago,0.318
2015,El Salvador,0.107
2015,Guatemala,0.275
2015,Ecuador,0.115
2015,Bolivia,0.205
2015,Paraguay,0.342
2015,Nicaragua,0.278
2015,Peru,0.15
2015,Jamaica,0.212
2015,Dominican Republic,0.217
2015,Honduras,0.23
2015,Haiti,0.462
2016,Costa Rica,0.226
2016,Brazil,0.158
2016,Mexico,0.117
2016,Chile,0.316
2016,Panama,0.242
2016,Argentina,0.11
2016,Uruguay,0.181
2016,Colombia,0.156
2016,Guatemala,0.288
2016,Suriname,0.167
2016,Trinidad and Tobago,0.319
2016,Venezuela,0.043
2016,El Salvador,0.089
2016,Nicaragua,0.298
2016,Ecuador,0.101
2016,Bolivia,0.217
2016,Peru,0.145
2016,Paraguay,0.253
2016,Jamaica,0.222
2016,Dominican Republic,0.213
2016,Honduras,0.204
2016,Haiti,0.48
2017,Costa Rica,0.215
2017,Chile,0.327
2017,Brazil,0.162
2017,Argentina,0.109
2017,Mexico,0.121
2017,Uruguay,0.175
2017,Guatemala,0.283
2017,Panama,0.211
2017,Colombia,0.149
2017,Trinidad and Tobago,0.325
2017,Nicaragua,0.302
2017,Ecuador,0.15
2017,El Salvador,0.078
2017,Bolivia,0.226
2017,Peru,0.127
2017,Paraguay,0.224
2017,Jamaica,0.234
2017,Venezuela,0.065
2017,Dominican Republic,0.187
2017,Honduras,0.236
2017,Haiti,0.489
2018,Costa Rica,0.143
2018,Mexico,0.069
2018,Chile,0.197
2018,Panama,0.125
2018,Brazil,0.11
2018,Argentina,0.062
2018,Guatemala,0.179
2018,Uruguay,0.13
2018,Colombia,0.099
2018,Trinidad & Tobago,0.171
2018,El Salvador,0.065
2018,Nicaragua,0.208
2018,Ecuador,0.114
2018,Jamaica,0.096
2018,Bolivia,0.141
2018,Paraguay,0.162
2018,Peru,0.092
2018,Honduras,0.197
2018,Dominican Republic,0.12
2018,Venezuela,0.056
2018,Haiti,0.392
2019,Costa Rica,0.144
2019,Mexico,0.074
2019,Chile,0.187
2019,Guatemala,0.175
2019,Panama,0.109
2019,Brazil,0.099
2019,Uruguay,0.127
2019,El Salvador,0.093
2019,Trinidad & Tobago,0.185
2019,Colombia,0.099
2019,Nicaragua,0.2
2019,Argentina,0.066
2019,Ecuador,0.126
2019,Jamaica,0.107
2019,Honduras,0.246
2019,Bolivia,0.137
2019,Paraguay,0.184
2019,Peru,0.083
2019,Dominican Republic,0.113
2019,Venezuela,0.064
2019,Haiti,0.419
2015,Taiwan,0.254
2015,Japan,0.107
2015,South Korea,0.186
2015,Hong Kong,0.395
2015,China,0.082
2015,Mongolia,0.332
2016,Taiwan,0.255
2016,Japan,0.102
2016,South Korea,0.188
2016,Hong Kong,0.401
2016,China,0.05
2016,Mongolia,0.345
2017,Japan,0.121
2017,South Korea,0.207
2017,China,0.029
2017,Mongolia,0.338
2018,Taiwan,0.151
2018,Japan,0.079
2018,South Korea,0.175
2018,Hong Kong,0.246
2018,China,0.029
2018,Mongolia,0.253
2019,Taiwan,0.242
2019,South Korea,0.175
2019,Japan,0.069
2019,Hong Kong,0.258
2019,Mongolia,0.235
2019,China,0.058
2015,Czech Republic,0.107
2015,Uzbekistan,0.228
2015,Slovakia,0.169
2015,Moldova,0.21
2015,Kazakhstan,0.118
2015,Slovenia,0.253
2015,Lithuania,0.026
2015,Belarus,0.11
2015,Poland,0.168
2015,Croatia,0.054
2015,Russia,0.002
2015,Kosovo,0.283
2015,Turkmenistan,0.17
2015,Estonia,0.087
2015,Kyrgyzstan,0.3
2015,Azerbaijan,0.078
2015,Montenegro,0.161
2015,Romania,0.137
2015,Serbia,0.192
2015,Latvia,0.182
2015,Macedonia,0.224
2015,Albania,0.143
2015,Bosnia and Herzegovina,0.248
2015,Hungary,0.128
2015,Tajikistan,0.23
2015,Ukraine,0.153
2015,Armenia,0.079
2015,Georgia,0.055
2015,Bulgaria,0.119
2016,Czech Republic,0.099
2016,Slovakia,0.138
2016,Uzbekistan,0.343
2016,Kazakhstan,0.15
2016,Moldova,0.2
2016,Russia,0.027
2016,Poland,0.144
2016,Lithuania,0.02
2016,Belarus,0.139
2016,Slovenia,0.257
2016,Turkmenistan,0.226
2016,Latvia,0.174
2016,Romania,0.129
2016,Estonia,0.084
2016,Croatia,0.184
2016,Kosovo,0.28
2016,Azerbaijan,0.056
2016,Kyrgyzstan,0.384
2016,Serbia,0.207
2016,Bosnia and Herzegovina,0.299
2016,Montenegro,0.172
2016,Hungary,0.099
2016,Macedonia,0.235
2016,Tajikistan,0.26
2016,Albania,0.168
2016,Armenia,0.078
2016,Ukraine,0.204
2016,Georgia,0.068
2016,Bulgaria,0.128
2017,Czech Republic,0.088
2017,Slovakia,0.137
2017,Poland,0.158
2017,Uzbekistan,0.416
2017,Russia,0.052
2017,Lithuania,0.01
2017,Latvia,0.153
2017,Moldova,0.209
2017,Romania,0.134
2017,Turkmenistan,0.25
2017,Kazakhstan,0.202
2017,Slovenia,0.243
2017,Estonia,0.099
2017,Belarus,0.155
2017,Serbia,0.22
2017,Hungary,0.078
2017,Croatia,0.248
2017,Kosovo,0.32
2017,Montenegro,0.198
2017,Azerbaijan,0.045
2017,Bosnia and Herzegovina,0.329
2017,Macedonia,0.254
2017,Tajikistan,0.249
2017,Kyrgyzstan,0.429
2017,Bulgaria,0.113
2017,Albania,0.201
2017,Armenia,0.083
2017,Georgia,0.054
2017,Ukraine,0.27
2018,Czech Republic,0.064
2018,Slovakia,0.118
2018,Poland,0.108
2018,Uzbekistan,0.328
2018,Lithuania,0.026
2018,Slovenia,0.16
2018,Romania,0.088
2018,Latvia,0.092
2018,Russia,0.065
2018,Kazakhstan,0.148
2018,Estonia,0.086
2018,Kosovo,0.274
2018,Moldova,0.171
2018,Turkmenistan,0.199
2018,Hungary,0.061
2018,Belarus,0.101
2018,Serbia,0.134
2018,Tajikistan,0.214
2018,Montenegro,0.111
2018,Croatia,0.12
2018,Azerbaijan,0.031
2018,Macedonia,0.173
2018,Kyrgyzstan,0.281
2018,Bosnia and Herzegovina,0.216
2018,Bulgaria,0.064
2018,Albania,0.149
2018,Georgia,0.038
2018,Armenia,0.077
2018,Ukraine,0.187
2019,Czech Republic,0.046
2019,Slovakia,0.121
2019,Poland,0.117
2019,Uzbekistan,0.322
2019,Lithuania,0.043
2019,Slovenia,0.144
2019,Kosovo,0.262
2019,Romania,0.083
2019,Latvia,0.075
2019,Estonia,0.103
2019,Kazakhstan,0.146
2019,Hungary,0.081
2019,Russia,0.082
2019,Serbia,0.137
2019,Moldova,0.181
2019,Montenegro,0.142
2019,Tajikistan,0.23
2019,Croatia,0.119
2019,Bosnia and Herzegovina,0.263
2019,Belarus,0.094
2019,Kyrgyzstan,0.3
2019,Turkmenistan,0.244
2019,Azerbaijan,0.035
2019,Bulgaria,0.081
2019,Albania,0.178
2019,Armenia,0.095
2019,Georgia,0.043
2019,Ukraine,0.187
2016,Belize,0.237
2017,Belize,0.24
2018,Belize,0.183
2015,New Zealand,0.475
2015,Australia,0.436
2016,New Zealand,0.494
2016,Australia,0.474
2017,New Zealand,0.5
2017,Australia,0.478
2018,New Zealand,0.365
2018,Australia,0.361
2019,New Zealand,0.33
2019,Australia,0.332
2019,Gambia,0.269
2017,"Hong Kong S.A.R., China",0.374
2019,Ireland,0.298
2016,Namibia,0.078
2017,Namibia,0.077
2018,Namibia,0.051
2019,Namibia,0.07
2019,North Macedonia,0.185
2018,Northern Cyprus,0.179
2019,Northern Cyprus,0.191
2016,Puerto Rico,0.222
2016,Somalia,0.272
2017,Somalia,0.292
2018,Somalia,0.238
2019,Somalia,0.243
2016,South Sudan,0.259
2017,South Sudan,0.286
2018,South Sudan,0.224
2019,South Sudan,0.202
2019,Swaziland,0.074
2017,Taiwan Province of China,0.258
