Year,Country,Social_Support
2015,Switzerland,1.35
2015,Iceland,1.402
2015,Denmark,1.361
2015,Norway,1.331
2015,Finland,1.318
2015,Netherlands,1.28
2015,Sweden,1.289
2015,Austria,1.297
2015,Luxembourg,1.22
2015,Ireland,1.369
2015,Belgium,1.286
2015,United Kingdom,1.285
2015,Germany,1.299
2015,France,1.26
2015,Spain,1.314
2015,Malta,1.302
2015,Italy,1.198
2015,North Cyprus,1.07
2015,Cyprus,0.893
2015,Portugal,1.139
2015,Greece,0.929
2016,Denmark,1.164
2016,Switzerland,1.145
2016,Iceland,1.183
2016,Norway,1.127
2016,Finland,1.135
2016,Netherlands,1.029
2016,Sweden,1.088
2016,Austria,1.084
2016,Germany,1.098
2016,Belgium,1.052
2016,Ireland,1.162
2016,Luxembourg,1.04
2016,United Kingdom,1.087
2016,Malta,1.099
2016,France,1.005
2016,Spain,1.129
2016,Italy,1.042
2016,North Cyprus,0.818
2016,Cyprus,0.707
2016,Portugal,0.944
2016,Greece,0.755
2017,Norway,1.534
2017,Denmark,1.551
2017,Iceland,1.611
2017,Switzerland,1.517
2017,Finland,1.54
2017,Netherlands,1.429
2017,Sweden,1.478
2017,Austria,1.46
2017,Ireland,1.558
2017,Germany,1.473
2017,Belgium,1.462
2017,Luxembourg,1.458
2017,United Kingdom,1.496
2017,Malta,1.488
2017,France,1.388
2017,Spain,1.532
2017,Italy,1.445
2017,North Cyprus,1.186
2017,Cyprus,1.131
2017,Greece,1.239
2017,Portugal,1.367
2018,Finland,1.592
2018,Norway,1.582
2018,Denmark,1.59
2018,Iceland,1.644
2018,Switzerland,1.549
2018,Netherlands,1.488
2018,Sweden,1.501
2018,Austria,1.504
2018,Ireland,1.583
2018,Germany,1.474
2018,Belgium,1.483
2018,Luxembourg,1.52
2018,United Kingdom,1.559
2018,Malta,1.525
2018,France,1.466
2018,Spain,1.538
2018,Italy,1.501
2018,Cyprus,1.191
2018,Portugal,1.429
2018,Greece,1.202
2019,Finland,1.587
2019,Denmark,1.573
2019,Norway,1.582
2019,Iceland,1.624
2019,Netherlands,1.522
2019,Switzerland,1.526
2019,Sweden,1.487
2019,Austria,1.475
2019,Luxembourg,1.479
2019,United Kingdom,1.538
2019,Germany,1.454
2019,Belgium,1.504
2019,Malta,1.52
2019,France,1.472
2019,Spain,1.484
2019,Italy,1.488
2019,Cyprus,1.223
2019,Portugal,1.431
2019,Greece,1.156
2015,Mauritius,0.985
2015,Nigeria,0.904
2015,Zambia,0.916
2015,Somaliland region,0.952
2015,Mozambique,1.026
2015,Lesotho,1.041
2015,Swaziland,1.073
2015,South Africa,1.185
2015,Ghana,0.68
2015,Zimbabwe,1.033
2015,Liberia,0.79
2015,Sudan,1.014
2015,Congo (Kinshasa),1.001
2015,Ethiopia,0.604
2015,Sierra Leone,0.956
2015,Mauritania,0.869
2015,Kenya,0.999
2015,Djibouti,0.592
2015,Botswana,1.105
2015,Malawi,0.411
2015,Cameroon,0.888
2015,Angola,0.86
2015,Mali,1.035
2015,Congo (Brazzaville),0.663
2015,Comoros,0.793
2015,Uganda,1.133
2015,Senegal,0.976
2015,Gabon,0.905
2015,Niger,0.773
2015,Tanzania,1.003
2015,Madagascar,0.668
2015,Central African Republic,0
2015,Chad,0.761
2015,Guinea,0.465
2015,Ivory Coast,0.771
2015,Burkina Faso,0.852
2015,Rwanda,0.774
2015,Benin,0.354
2015,Burundi,0.416
2015,Togo,0.14
2016,Mauritius,0.757
2016,Somaliland Region,0.759
2016,Nigeria,0.645
2016,Zambia,0.638
2016,Sierra Leone,0.628
2016,Cameroon,0.625
2016,Ethiopia,0.379
2016,South Africa,0.961
2016,Kenya,0.762
2016,Ghana,0.494
2016,Congo (Kinshasa),0.807
2016,Congo (Brazzaville),0.478
2016,Senegal,0.774
2016,Mauritania,0.841
2016,Zimbabwe,0.715
2016,Malawi,0.147
2016,Sudan,0.819
2016,Gabon,0.724
2016,Mali,0.863
2016,Botswana,0.892
2016,Comoros,0.603
2016,Ivory Coast,0.576
2016,Angola,0.664
2016,Niger,0.605
2016,Chad,0.632
2016,Burkina Faso,0.631
2016,Uganda,0.91
2016,Madagascar,0.461
2016,Tanzania,0.776
2016,Liberia,0.504
2016,Guinea,0.311
2016,Rwanda,0.616
2016,Benin,0.104
2016,Togo,0
2016,Burundi,0.234
2017,Mauritius,1.21
2017,Nigeria,1.216
2017,South Africa,1.385
2017,Sierra Leone,0.984
2017,Cameroon,0.946
2017,Kenya,1.068
2017,Mozambique,0.871
2017,Senegal,1.18
2017,Zambia,1.003
2017,Gabon,1.156
2017,Ethiopia,0.865
2017,Mauritania,1.272
2017,Congo (Brazzaville),0.832
2017,Congo (Kinshasa),1.229
2017,Mali,1.281
2017,Ivory Coast,0.905
2017,Sudan,1.214
2017,Ghana,0.874
2017,Uganda,1.13
2017,Burkina Faso,1.043
2017,Niger,0.993
2017,Malawi,0.513
2017,Chad,0.954
2017,Zimbabwe,1.083
2017,Lesotho,1.19
2017,Angola,1.104
2017,Botswana,1.222
2017,Benin,0.435
2017,Madagascar,0.913
2017,Liberia,0.872
2017,Guinea,0.791
2017,Togo,0.432
2017,Rwanda,0.946
2017,Tanzania,1.042
2017,Burundi,0.63
2017,Central African Republic,0
2018,Mauritius,1.387
2018,Nigeria,1.172
2018,Cameroon,0.891
2018,Gabon,1.164
2018,South Africa,1.41
2018,Ivory Coast,0.872
2018,Ghana,0.896
2018,Senegal,1.117
2018,Sierra Leone,0.813
2018,Congo (Brazzaville),0.811
2018,Mali,1.233
2018,Burkina Faso,1.097
2018,Mozambique,0.902
2018,Kenya,1.048
2018,Zambia,1.047
2018,Mauritania,1.245
2018,Ethiopia,0.95
2018,Chad,0.907
2018,Congo (Kinshasa),1.136
2018,Niger,0.867
2018,Uganda,1.09
2018,Benin,0.372
2018,Sudan,1.24
2018,Togo,0.474
2018,Guinea,0.792
2018,Lesotho,1.215
2018,Madagascar,0.908
2018,Zimbabwe,1.094
2018,Botswana,1.174
2018,Malawi,0.541
2018,Liberia,0.858
2018,Rwanda,0.896
2018,Tanzania,0.991
2018,Central African Republic,0
2018,Burundi,0.627
2019,Mauritius,1.402
2019,Nigeria,1.111
2019,Cameroon,0.91
2019,Ghana,0.868
2019,Ivory Coast,0.808
2019,Benin,0.437
2019,Congo (Brazzaville),0.799
2019,Gabon,1.183
2019,South Africa,1.351
2019,Senegal,1.134
2019,Niger,0.774
2019,Burkina Faso,1.056
2019,Guinea,0.829
2019,Kenya,0.983
2019,Mauritania,1.167
2019,Mozambique,0.986
2019,Congo (Kinshasa),1.125
2019,Mali,1.105
2019,Sierra Leone,0.841
2019,Chad,0.766
2019,Ethiopia,1.033
2019,Uganda,1.069
2019,Zambia,1.058
2019,Togo,0.572
2019,Liberia,0.922
2019,Comoros,0.757
2019,Madagascar,0.916
2019,Lesotho,1.169
2019,Burundi,0.447
2019,Zimbabwe,1.114
2019,Botswana,1.145
2019,Malawi,0.56
2019,Rwanda,0.711
2019,Tanzania,0.885
2019,Central African Republic,0
2015,Bhutan,1.104
2015,Pakistan,0.414
2015,Bangladesh,0.431
2015,India,0.382
2015,Nepal,0.864
2015,Sri Lanka,1.019
2015,Afghanistan,0.303
2016,Bhutan,0.908
2016,Pakistan,0.261
2016,Nepal,0.697
2016,Bangladesh,0.247
2016,Sri Lanka,0.848
2016,India,0.292
2016,Afghanistan,0.11
2017,Pakistan,0.673
2017,Bhutan,1.34
2017,Nepal,1.179
2017,Bangladesh,0.735
2017,Sri Lanka,1.26
2017,India,0.754
2017,Afghanistan,0.582
2018,Pakistan,0.81
2018,Bhutan,1.335
2018,Nepal,1.228
2018,Bangladesh,0.85
2018,Sri Lanka,1.314
2018,India,0.747
2018,Afghanistan,0.537
2019,Pakistan,0.886
2019,Bhutan,1.321
2019,Nepal,1.226
2019,Bangladesh,0.928
2019,Sri Lanka,1.265
2019,India,0.765
2019,Afghanistan,0.517
2018,Angola,1.125
2015,Singapore,1.02
2015,Thailand,1.265
2015,Malaysia,1.07
2015,Indonesia,1.087
2015,Vietnam,0.912
2015,Philippines,1.035
2015,Laos,0.738
2015,Myanmar,0.709
2015,Cambodia,0.627
2016,Singapore,0.868
2016,Thailand,1.045
2016,Malaysia,0.88
2016,Indonesia,0.876
2016,Philippines,0.879
2016,Vietnam,0.791
2016,Laos,0.55
2016,Myanmar,0.7
2016,Cambodia,0.538
2017,Singapore,1.354
2017,Thailand,1.426
2017,Malaysia,1.285
2017,Philippines,1.254
2017,Indonesia,1.274
2017,Vietnam,1.277
2017,Myanmar,1.123
2017,Cambodia,1.006
2018,Singapore,1.451
2018,Malaysia,1.258
2018,Thailand,1.417
2018,Philippines,1.312
2018,Vietnam,1.365
2018,Indonesia,1.215
2018,Laos,1.034
2018,Cambodia,1.088
2018,Myanmar,1.174
2019,Singapore,1.463
2019,Thailand,1.409
2019,Philippines,1.293
2019,Malaysia,1.171
2019,Indonesia,1.203
2019,Vietnam,1.346
2019,Laos,1.03
2019,Cambodia,1.122
2019,Myanmar,1.181
2015,Canada,1.323
2015,United States,1.247
2016,Canada,1.096
2016,United States,1.048
2017,Canada,1.481
2017,United States,1.42
2018,Canada,1.532
2018,United States,1.471
2019,Canada,1.505
2019,United States,1.457
2015,Israel,1.224
2015,United Arab Emirates,1.126
2015,Oman,1.082
2015,Qatar,1.079
2015,Saudi Arabia,1.084
2015,Kuwait,1.166
2015,Bahrain,1.216
2015,Libya,1.119
2015,Algeria,1.078
2015,Turkey,0.946
2015,Jordan,1.054
2015,Morocco,0.641
2015,Lebanon,0.8
2015,Tunisia,0.604
2015,Palestinian Territories,0.926
2015,Iran,0.544
2015,Iraq,0.819
2015,Egypt,0.747
2015,Yemen,0.681
2015,Syria,0.475
2016,Israel,0.995
2016,United Arab Emirates,0.871
2016,Saudi Arabia,0.848
2016,Qatar,0.88
2016,Algeria,0.833
2016,Kuwait,0.878
2016,Bahrain,0.944
2016,Libya,0.951
2016,Turkey,0.877
2016,Jordan,0.862
2016,Morocco,0.386
2016,Lebanon,0.642
2016,Tunisia,0.432
2016,Iran,0.389
2016,Palestinian Territories,0.716
2016,Iraq,0.592
2016,Egypt,0.498
2016,Yemen,0.475
2016,Syria,0.149
2017,Israel,1.376
2017,United Arab Emirates,1.266
2017,Qatar,1.274
2017,Saudi Arabia,1.287
2017,Kuwait,1.26
2017,Bahrain,1.323
2017,Algeria,1.146
2017,Libya,1.358
2017,Turkey,1.338
2017,Jordan,1.239
2017,Morocco,0.775
2017,Lebanon,1.13
2017,Tunisia,0.868
2017,Palestinian Territories,1.156
2017,Egypt,0.997
2017,Iran,0.712
2017,Iraq,0.979
2017,Yemen,0.935
2017,Syria,0.396
2018,Israel,1.433
2018,United Arab Emirates,0.776
2018,Qatar,1.303
2018,Saudi Arabia,1.331
2018,Bahrain,1.366
2018,Kuwait,1.301
2018,Libya,1.35
2018,Turkey,1.38
2018,Algeria,1.154
2018,Morocco,0.797
2018,Lebanon,1.166
2018,Jordan,1.265
2018,Palestinian Territories,1.217
2018,Iran,0.771
2018,Tunisia,0.906
2018,Iraq,0.971
2018,Egypt,1.025
2018,Syria,0.382
2018,Yemen,1.073
2019,Israel,1.455
2019,United Arab Emirates,1.31
2019,Saudi Arabia,1.357
2019,Qatar,1.313
2019,Bahrain,1.368
2019,Kuwait,1.409
2019,Libya,1.303
2019,Turkey,1.36
2019,Algeria,1.16
2019,Morocco,0.782
2019,Lebanon,1.224
2019,Jordan,1.225
2019,Palestinian Territories,1.247
2019,Iran,0.842
2019,Tunisia,1
2019,Iraq,0.98
2019,Egypt,1.039
2019,Syria,0.378
2019,Yemen,1.163
2015,Costa Rica,1.238
2015,Mexico,0.915
2015,Brazil,1.233
2015,Venezuela,1.256
2015,Panama,1.199
2015,Chile,1.124
2015,Argentina,1.248
2015,Uruguay,1.209
2015,Colombia,1.24
2015,Suriname,0.972
2015,Trinidad and Tobago,1.184
2015,El Salvador,1.025
2015,Guatemala,1.044
2015,Ecuador,0.999
2015,Bolivia,0.978
2015,Paraguay,1.305
2015,Nicaragua,1.142
2015,Peru,0.975
2015,Jamaica,1.151
2015,Dominican Republic,1.172
2015,Honduras,0.953
2015,Haiti,0.743
2016,Costa Rica,1.022
2016,Brazil,1.039
2016,Mexico,0.715
2016,Chile,0.906
2016,Panama,0.989
2016,Argentina,1.066
2016,Uruguay,1.031
2016,Colombia,1.022
2016,Guatemala,0.871
2016,Suriname,0.779
2016,Trinidad and Tobago,0.986
2016,Venezuela,1.033
2016,El Salvador,0.81
2016,Nicaragua,0.895
2016,Ecuador,0.86
2016,Bolivia,0.838
2016,Peru,0.813
2016,Paraguay,1.111
2016,Jamaica,0.964
2016,Dominican Republic,0.995
2016,Honduras,0.756
2016,Haiti,0.296
2017,Costa Rica,1.416
2017,Chile,1.284
2017,Brazil,1.431
2017,Argentina,1.44
2017,Mexico,1.211
2017,Uruguay,1.412
2017,Guatemala,1.256
2017,Panama,1.373
2017,Colombia,1.402
2017,Trinidad and Tobago,1.38
2017,Nicaragua,1.287
2017,Ecuador,1.286
2017,El Salvador,1.182
2017,Bolivia,1.228
2017,Peru,1.219
2017,Paraguay,1.507
2017,Jamaica,1.368
2017,Venezuela,1.431
2017,Dominican Republic,1.402
2017,Honduras,1.144
2017,Haiti,0.64
2018,Costa Rica,1.459
2018,Mexico,1.252
2018,Chile,1.331
2018,Panama,1.438
2018,Brazil,1.474
2018,Argentina,1.468
2018,Guatemala,1.268
2018,Uruguay,1.459
2018,Colombia,1.439
2018,Trinidad & Tobago,1.492
2018,El Salvador,1.231
2018,Nicaragua,1.319
2018,Ecuador,1.33
2018,Jamaica,1.493
2018,Bolivia,1.223
2018,Paraguay,1.522
2018,Peru,1.249
2018,Honduras,1.205
2018,Dominican Republic,1.441
2018,Venezuela,1.469
2018,Haiti,0.714
2019,Costa Rica,1.441
2019,Mexico,1.323
2019,Chile,1.369
2019,Guatemala,1.269
2019,Panama,1.442
2019,Brazil,1.439
2019,Uruguay,1.465
2019,El Salvador,1.242
2019,Trinidad & Tobago,1.477
2019,Colombia,1.41
2019,Nicaragua,1.325
2019,Argentina,1.432
2019,Ecuador,1.312
2019,Jamaica,1.478
2019,Honduras,1.236
2019,Bolivia,1.209
2019,Paraguay,1.475
2019,Peru,1.274
2019,Dominican Republic,1.401
2019,Venezuela,1.427
2019,Haiti,0.688
2015,Taiwan,1.076
2015,Japan,1.257
2015,South Korea,0.958
2015,Hong Kong,1.058
2015,China,0.947
2015,Mongolia,1.301
2016,Taiwan,0.926
2016,Japan,1.061
2016,South Korea,0.722
2016,Hong Kong,0.87
2016,China,0.794
2016,Mongolia,1.09
2017,Japan,1.436
2017,South Korea,1.128
2017,China,1.161
2017,Mongolia,1.493
2018,Taiwan,1.436
2018,Japan,1.462
2018,South Korea,1.204
2018,Hong Kong,1.29
2018,China,1.142
2018,Mongolia,1.517
2019,Taiwan,1.43
2019,South Korea,1.219
2019,Japan,1.419
2019,Hong Kong,1.277
2019,Mongolia,1.531
2019,China,1.125
2015,Czech Republic,1.206
2015,Uzbekistan,1.34
2015,Slovakia,1.27
2015,Moldova,1.015
2015,Kazakhstan,1.122
2015,Slovenia,1.274
2015,Lithuania,1.257
2015,Belarus,1.233
2015,Poland,1.279
2015,Croatia,0.796
2015,Russia,1.236
2015,Kosovo,0.812
2015,Turkmenistan,1.227
2015,Estonia,1.228
2015,Kyrgyzstan,1.151
2015,Azerbaijan,0.938
2015,Montenegro,0.906
2015,Romania,0.886
2015,Serbia,1.01
2015,Latvia,1.096
2015,Macedonia,1.002
2015,Albania,0.804
2015,Bosnia and Herzegovina,0.919
2015,Hungary,1.202
2015,Tajikistan,0.856
2015,Ukraine,1.203
2015,Armenia,0.777
2015,Georgia,0.386
2015,Bulgaria,1.106
2016,Czech Republic,1.008
2016,Slovakia,1.083
2016,Uzbekistan,1.168
2016,Kazakhstan,0.955
2016,Moldova,0.831
2016,Russia,1.053
2016,Poland,1.047
2016,Lithuania,1.064
2016,Belarus,1.05
2016,Slovenia,1.056
2016,Turkmenistan,1.038
2016,Latvia,0.95
2016,Romania,0.728
2016,Estonia,1.052
2016,Croatia,0.608
2016,Kosovo,0.661
2016,Azerbaijan,0.76
2016,Kyrgyzstan,0.954
2016,Serbia,0.813
2016,Bosnia and Herzegovina,0.644
2016,Montenegro,0.742
2016,Hungary,0.932
2016,Macedonia,0.782
2016,Tajikistan,0.756
2016,Albania,0.502
2016,Armenia,0.625
2016,Ukraine,1.014
2016,Georgia,0.192
2016,Bulgaria,0.925
2017,Czech Republic,1.434
2017,Slovakia,1.505
2017,Poland,1.446
2017,Uzbekistan,1.549
2017,Russia,1.469
2017,Lithuania,1.474
2017,Latvia,1.405
2017,Moldova,1.252
2017,Romania,1.15
2017,Turkmenistan,1.493
2017,Kazakhstan,1.384
2017,Slovenia,1.453
2017,Estonia,1.477
2017,Belarus,1.445
2017,Serbia,1.258
2017,Hungary,1.343
2017,Croatia,0.968
2017,Kosovo,1.138
2017,Montenegro,1.238
2017,Azerbaijan,1.152
2017,Bosnia and Herzegovina,1.069
2017,Macedonia,1.208
2017,Tajikistan,1.271
2017,Kyrgyzstan,1.394
2017,Bulgaria,1.434
2017,Albania,0.804
2017,Armenia,1.007
2017,Georgia,0.571
2017,Ukraine,1.395
2018,Czech Republic,1.489
2018,Slovakia,1.537
2018,Poland,1.448
2018,Uzbekistan,1.584
2018,Lithuania,1.527
2018,Slovenia,1.506
2018,Romania,1.219
2018,Latvia,1.454
2018,Russia,1.479
2018,Kazakhstan,1.516
2018,Estonia,1.532
2018,Kosovo,1.23
2018,Moldova,1.301
2018,Turkmenistan,1.533
2018,Hungary,1.401
2018,Belarus,1.498
2018,Serbia,1.369
2018,Tajikistan,1.179
2018,Montenegro,1.279
2018,Croatia,1.161
2018,Azerbaijan,1.161
2018,Macedonia,1.239
2018,Kyrgyzstan,1.416
2018,Bosnia and Herzegovina,1.078
2018,Bulgaria,1.515
2018,Albania,0.817
2018,Georgia,0.592
2018,Armenia,0.99
2018,Ukraine,1.413
2019,Czech Republic,1.487
2019,Slovakia,1.504
2019,Poland,1.438
2019,Uzbekistan,1.529
2019,Lithuania,1.515
2019,Slovenia,1.523
2019,Kosovo,1.232
2019,Romania,1.232
2019,Latvia,1.465
2019,Estonia,1.528
2019,Kazakhstan,1.508
2019,Hungary,1.41
2019,Russia,1.452
2019,Serbia,1.383
2019,Moldova,1.328
2019,Montenegro,1.361
2019,Tajikistan,1.098
2019,Croatia,1.266
2019,Bosnia and Herzegovina,1.212
2019,Belarus,1.465
2019,Kyrgyzstan,1.438
2019,Turkmenistan,1.538
2019,Azerbaijan,1.147
2019,Bulgaria,1.513
2019,Albania,0.848
2019,Armenia,1.055
2019,Georgia,0.666
2019,Ukraine,1.39
2016,Belize,0.687
2017,Belize,1.081
2018,Belize,1.101
2015,New Zealand,1.32
2015,Australia,1.309
2016,New Zealand,1.173
2016,Australia,1.105
2017,New Zealand,1.548
2017,Australia,1.51
2018,New Zealand,1.601
2018,Australia,1.573
2019,New Zealand,1.557
2019,Australia,1.548
2019,Gambia,0.939
2017,"Hong Kong S.A.R., China",1.263
2019,Ireland,1.553
2016,Namibia,0.704
2017,Namibia,1.098
2018,Namibia,1.281
2019,Namibia,1.313
2019,North Macedonia,1.294
2018,Northern Cyprus,1.211
2019,Northern Cyprus,1.252
2016,Puerto Rico,1.081
2016,Somalia,0.336
2017,Somalia,0.721
2018,Somalia,0.712
2019,Somalia,0.698
2016,South Sudan,0.185
2017,South Sudan,0.601
2018,South Sudan,0.608
2019,South Sudan,0.575
2019,Swaziland,1.149
2017,Taiwan Province of China,1.385
